[Codys FC2 Universe],,,,,,,,,,
SEC,East,West,,,,,,,,
ACC,Atlantic,Coastal,,,,,,,,
Big Ten,East,West,,,,,,,,
Big 12,Sheriff,Outlaw,,,,,,,,
Pac 12,North,South,,,,,,,,
AAC,East,West,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,
# SEC,,,,,,,,,,
TEAM,SEC,West,Alabama,ALA,93,AUB,,,,
TEAM,SEC,West,Texas A&M,TAMU,86,SCAR,,,,
TEAM,SEC,West,LSU,LSU,85,UGA,,,,
TEAM,SEC,West,Auburn,AUB,80,ALA,,,,
TEAM,SEC,West,Mississippi St,MSST,73,MISS,,,,
TEAM,SEC,West,Ole Miss,MISS,83,MSST,,,,
TEAM,SEC,West,Arkansas,ARK,78,MIZ,,,,
TEAM,SEC,East,Georgia,UGA,88,LSU,,,,
TEAM,SEC,East,Florida,UF,84,TEN,,,,
TEAM,SEC,East,Tennessee,TEN,77,UF,,,,
TEAM,SEC,East,South Carolina,SCAR,76,TAMU,,,,
TEAM,SEC,East,Missouri,MIZ,72,ARK,,,,
TEAM,SEC,East,Kentucky,UK,76,VAN,,,,
TEAM,SEC,East,Vanderbilt,VAN,60,UK,,,,
# ACC,,,,,,,,,,
TEAM,ACC,Atlantic,Clemson,CLEM,87,LOU,,,,
TEAM,ACC,Atlantic,Florida St,FSU,76,UM,,,,
TEAM,ACC,Atlantic,Louisville,LOU,74,CLEM,,,,
TEAM,ACC,Atlantic,NC State,NCST,74,UNC,,,,
TEAM,ACC,Atlantic,Syracuse,SYR,68,PITT,,,,
TEAM,ACC,Atlantic,Boston College,BC,70,GT,,,,
TEAM,ACC,Atlantic,Wake Forest,WF,74,DUKE,,,,
TEAM,ACC,Coastal,Miami,UM,80,FSU,,,,
TEAM,ACC,Coastal,Virginia Tech,VT,76,UVA,,,,
TEAM,ACC,Coastal,UNC,UNC,81,NCST,,,,
TEAM,ACC,Coastal,Pittsburgh,PITT,75,SYR,,,,
TEAM,ACC,Coastal,Georgia Tech,GT,71,BC,,,,
TEAM,ACC,Coastal,Duke,DUKE,63,WF,,,,
TEAM,ACC,Coastal,Virginia,UVA,69,VT,,,,
# B10,,,,,,,,,,
TEAM,Big Ten,West,Wisconsin,WIS,83,MINN,,,,
TEAM,Big Ten,West,Nebraska,NEB,76,IOWA,,,,
TEAM,Big Ten,West,Iowa,IOWA,79,NEB,,,,
TEAM,Big Ten,West,Northwestern,NW,74,ILL,,,,
TEAM,Big Ten,West,Purdue,PUR,71,IND,,,,
TEAM,Big Ten,West,Minnesota,MINN,78,WIS,,,,
TEAM,Big Ten,West,Illinois,ILL,67,NW,,,,
TEAM,Big Ten,East,Ohio State,OSU,90,MICH,,,,
TEAM,Big Ten,East,Michigan,MICH,83,OSU,,,,
TEAM,Big Ten,East,Penn State,PSU,83,MSU,,,,
TEAM,Big Ten,East,Michigan St,MSU,78,PSU,,,,
TEAM,Big Ten,East,Maryland,MD,73,RUT,,,,
TEAM,Big Ten,East,Indiana,IND,74,PUR,,,,
TEAM,Big Ten,East,Rutgers,RUT,66,MD,,,,
# Big 12,,,,,,,,,,
TEAM,Big 12,Sheriff,Texas,TEX,81,OKL,,,,
TEAM,Big 12,Sheriff,Iowa State,ISU,76,BSU,,,,
TEAM,Big 12,Sheriff,TCU,TCU,73,TTU,,,,
TEAM,Big 12,Sheriff,Boise State,BSU,73,ISU,,,,
TEAM,Big 12,Sheriff,American Samoa,SAM,50,WYO,,,,
TEAM,Big 12,Sheriff,Texas Tech,TTU,75,TCU,,,,
TEAM,Big 12,Sheriff,Colorado St,CSU,60,WVU,,,,
TEAM,Big 12,Outlaw,Baylor,BAY,77,OKST,,,,
TEAM,Big 12,Outlaw,Oklahoma,OKL,87,TEX,,,,
TEAM,Big 12,Outlaw,Oklahoma St,OKST,82,BAY,,,,
TEAM,Big 12,Outlaw,Kansas St,KSU,74,KU,,,,
TEAM,Big 12,Outlaw,West Virginia,WVU,74,CSU,,,,
TEAM,Big 12,Outlaw,Wyoming,WYO,64,SAM,,,,
TEAM,Big 12,Outlaw,Kansas,KU,62,KSU,,,,
# Pac 12,,,,,,,,,,
TEAM,Pac 12,North,Oregon,ORE,84,ORST,,,,
TEAM,Pac 12,North,Notre Dame,ND,85,USC,,,,
TEAM,Pac 12,North,Washington,WASH,77,WSU,,,,
TEAM,Pac 12,North,Stanford,STAN,72,CAL,,,,
TEAM,Pac 12,North,Washington St,WSU,73,WASH,,,,
TEAM,Pac 12,North,California,CAL,72,STAN,,,,
TEAM,Pac 12,North,Oregon St,ORST,67,ORE,,,,
TEAM,Pac 12,South,USC,USC,80,ND,,,,
TEAM,Pac 12,South,UCLA,UCLA,78,UTAH,,,,
TEAM,Pac 12,South,Utah,UTAH,82,UCLA,,,,
TEAM,Pac 12,South,BYU,BYU,79,COLO,,,,
TEAM,Pac 12,South,Arizona,ARIZ,70,ASU,,,,
